,CATEGORY (ISCED Description),Course Title,Course Code,R1 Points,R1 Random,R2 Points ,R2 Random,EOS Points,EOS Random,EOS Midpoints,Course Level,HEI,Test/Interview,AVP,v
821,Personal services,"Sport, Exercise and Enterprise",DK763,205,,165,,165,,350,7,Dundalk Institute of Technology,,avp,
822,Welfare,Community Youth Work (interview),DK767,240,,240,,240,,320,7,Dundalk Institute of Technology,#,avp,
823,Arts,Audio and Music Production,DK768,329,,285,,280,,408,7,Dundalk Institute of Technology,,,
824,Arts,Creative Media,DK769,265,,209,,179,,420,7,Dundalk Institute of Technology,,,
825,Arts,Theatre and Film Practice,DK770,140,,140,,140,,410,7,Dundalk Institute of Technology,,avp,
826,Arts,Musical Theatre (audition),DK771,,,,,,,0,7,Dundalk Institute of Technology,#,,
827,Biological and related sciences,Science - Bioscience,DK781,376,,,,341,,485,7,Dundalk Institute of Technology,,,
828,Biological and related sciences,Science - Pharmaceutical Science,DK783,346,,,,346,,409,7,Dundalk Institute of Technology,,,
829,Veterinary,Veterinary Nursing,DK784,451,,430,,399,,462,7,Dundalk Institute of Technology,,,
830,Business and administration,Accounting and Finance,DK810,307,,307,,307,,399,8,Dundalk Institute of Technology,,avp,
831,Business and administration,Business Studies,DK816,301,,301,,301,,382,8,Dundalk Institute of Technology,,avp,
832,Information and Communication Technologies (ICTs),Computing in Games Development,DK820,309,,309,,309,,381,8,Dundalk Institute of Technology,,avp,
833,Information and Communication Technologies (ICTs),Computing in Software Development,DK821,320,,316,,307,,379,8,Dundalk Institute of Technology,,,
834,Information and Communication Technologies (ICTs),Augmented and Virtual Reality,DK822,320,,320,,307,,340,8,Dundalk Institute of Technology,,avp,
835,Architecture and construction,Building Surveying,DK830,305,,,,305,,378,8,Dundalk Institute of Technology,,avp,
836,Architecture and construction,Architectural Technology,DK831,368,,314,,314,,377,8,Dundalk Institute of Technology,,avp,
837,Architecture and construction,Construction Management,DK832,358,,305,,305,,362,8,Dundalk Institute of Technology,,avp,
838,Engineering and engineering trades,Engineering (Common Entry),DK843,404,,391,,391,,466,8,Dundalk Institute of Technology,,avp,
839,Engineering and engineering trades,Mechanical Engineering,DK844,336,,336,,336,,435,8,Dundalk Institute of Technology,,avp,
840,Engineering and engineering trades,Electrical and Electronic Engineering,DK845,331,,331,,331,,434,8,Dundalk Institute of Technology,,avp,
841,Architecture and construction,Civil Engineering,DK846,371,,371,,371,,465,8,Dundalk Institute of Technology,,avp,
842,Personal services,International Tourism Management,DK850,303,,303,,303,,417,8,Dundalk Institute of Technology,,avp,
843,Social and behavioural sciences,Arts,DK861,302,,302,,300,,347,8,Dundalk Institute of Technology,,avp,
844,Welfare,Social Care,DK862,322,,319,,301,,348,8,Dundalk Institute of Technology,,,
845,Arts,Creative Media,DK863,336,,320,,309,,432,8,Dundalk Institute of Technology,,,
846,Arts,Film and Television Production,DK864,308,,,,308,,399,8,Dundalk Institute of Technology,,,
847,Arts,Audio and Music Production,DK865,352,,,,308,,404,8,Dundalk Institute of Technology,,,
848,Health,General Nursing,DK870,440,*,440,*,433,,451,8,Dundalk Institute of Technology,,,
849,Health,Intellectual Disability Nursing,DK872,367,,366,,347,,368,8,Dundalk Institute of Technology,,,
850,Health,Mental Health Nursing,DK874,398,,,,391,,414,8,Dundalk Institute of Technology,,,
851,Welfare,Early Childhood Studies,DK876,300,,300,,300,,357,8,Dundalk Institute of Technology,,avp,
852,Health,Midwifery,DK877,482,,477,,470,,495,8,Dundalk Institute of Technology,,,
853,Health,Health and Physical Activity,DK880,301,,301,,300,,397,8,Dundalk Institute of Technology,,avp,
854,"Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary",Agriculture (Award options),DK882,342,,,,342,,402,8,Dundalk Institute of Technology,,,
855,"Interdisciplinary programmes and qualifications involving natural sciences, Mathematics and statistics",Science (Award options),DK883,373,,368,,302,,384,8,Dundalk Institute of Technology,,,
856,Agriculture,Sustainable Agriculture,DK884,348,,,,348,,397,8,Dundalk Institute of Technology,,,
857,Manufacturing and processing,Agri-Food Production,DK885,,,,,,,0,8,Dundalk Institute of Technology,,,
858,Manufacturing and processing,Biopharmaceutical Science,DK886,379,,,,347,,388,8,Dundalk Institute of Technology,,,
859,Environment,Environmental Science,DK887,377,,,,377,,440,8,Dundalk Institute of Technology,,,
860,Business and administration,Business (Level 6),GA160,168,,168,,168,,298,6,Galway-Mayo Institute of Technology,,avp,
861,Business and administration,Business (Level 7),GA170,252,,,,252,,454,7,Galway-Mayo Institute of Technology,,,
862,Information and Communication Technologies (ICTs),Business Information Systems,GA171,253,,,,253,,402,7,Galway-Mayo Institute of Technology,,,
863,Agriculture,Rural Enterprise and Agri-Business,GA172,278,,,,278,,388,7,Galway-Mayo Institute of Technology,,,
864,Business and administration,Marketing and Sales,GA174,278,,,,278,,397,7,Galway-Mayo Institute of Technology,,,
865,Business and administration,Finance,GA175,318,,,,318,,499,7,Galway-Mayo Institute of Technology,,,
866,Business and administration,Business with Entrepreneurship,GA176,278,,,,278,,442,7,Galway-Mayo Institute of Technology,,,
867,Business and administration,Accounting,GA181,303,,,,303,,400,8,Galway-Mayo Institute of Technology,,,
868,Business and administration,Business,GA182,285,,,,285,,369,8,Galway-Mayo Institute of Technology,,,
869,Information and Communication Technologies (ICTs),Business Information Systems,GA183,298,,,,298,,358,8,Galway-Mayo Institute of Technology,,,
870,Business and administration,Marketing and Sales,GA184,300,,,,300,,368,8,Galway-Mayo Institute of Technology,,,
871,Business and administration,Finance and Economics,GA185,318,,,,318,,378,8,Galway-Mayo Institute of Technology,,,
872,Business and administration,Business with Entrepreneurship,GA186,287,,,,287,,346,8,Galway-Mayo Institute of Technology,,,
873,Agriculture,Rural Enterprise and Agri-Business,GA187,291,,,,291,,358,8,Galway-Mayo Institute of Technology,,,
874,Social and behavioural sciences,Heritage Studies,GA272,174,,174,,174,,368,7,Galway-Mayo Institute of Technology,,avp,
875,Arts,Contemporary Art (portfolio),GA273,775,,,,775,,900,7,Galway-Mayo Institute of Technology,#,,
876,Arts,Design,GA274,271,,,,271,,402,7,Galway-Mayo Institute of Technology,,,
877,Arts,Film and Documentary,GA281,310,,301,,301,,358,8,Galway-Mayo Institute of Technology,,,
878,Social and behavioural sciences,Heritage Studies,GA282,252,,,,252,,343,8,Galway-Mayo Institute of Technology,,,
879,Arts,Contemporary Art (portfolio),GA283,790,,,,790,,876,8,Galway-Mayo Institute of Technology,#,,
880,Arts,Design,GA284,331,,,,331,,398,8,Galway-Mayo Institute of Technology,,,
881,Education,"Education (Art, Design and Graphics)",GA285,406,,,,406,,442,8,Galway-Mayo Institute of Technology,,,
882,Personal services,Business in Tourism,GA360,171,,,,171,,376,6,Galway-Mayo Institute of Technology,,avp,
883,Personal services,Culinary Arts,GA361,181,,,,181,,388,6,Galway-Mayo Institute of Technology,,,
884,Personal services,Hotel and Hospitality Operations,GA362,162,,162,,162,,265,6,Galway-Mayo Institute of Technology,,avp,
885,Social and behavioural sciences,Heritage Studies,GA364,252,,252,,252,,451,6,Galway-Mayo Institute of Technology,,avp,
886,Personal services,Hotel and Catering Management,GA370,163,,163,,163,,359,7,Galway-Mayo Institute of Technology,,avp,
887,Personal services,Event Management with Public Relations,GA376,216,,,,216,,408,7,Galway-Mayo Institute of Technology,,,
888,Personal services,International Tourism Management,GA377,180,,180,,180,,376,7,Galway-Mayo Institute of Technology,,avp,
889,Manufacturing and processing,Culinary and Gastronomic Science,GA378,200,,160,,160,,350,7,Galway-Mayo Institute of Technology,,,
890,Personal services,International Hotel Management,GA380,218,,,,218,,320,8,Galway-Mayo Institute of Technology,,,
891,Personal services,International Tourism Management,GA381,252,,,,252,,317,8,Galway-Mayo Institute of Technology,,,
892,Manufacturing and processing,Culinary and Gastronomic Science,GA382,235,,,,235,,375,8,Galway-Mayo Institute of Technology,,,
893,Personal services,Event Management with Public Relations,GA384,230,,,,230,,340,8,Galway-Mayo Institute of Technology,,,
894,Architecture and construction,Construction Management,GA470,246,,,,246,,362,7,Galway-Mayo Institute of Technology,,,
895,Architecture and construction,Quantity Surveying and Construction Economics,GA471,234,,,,234,,392,7,Galway-Mayo Institute of Technology,,,
896,Architecture and construction,Architectural Technology,GA472,260,,,,260,,466,7,Galway-Mayo Institute of Technology,,,
897,Architecture and construction,Civil Engineering,GA473,304,,,,304,,434,7,Galway-Mayo Institute of Technology,,,
898,Architecture and construction,Construction Management,GA480,302,,,,302,,359,8,Galway-Mayo Institute of Technology,,,
899,Architecture and construction,Quantity Surveying and Construction Economics,GA482,304,,,,304,,388,8,Galway-Mayo Institute of Technology,,,
900,Architecture and construction,Architectural Technology,GA483,281,,273,,273,,361,8,Galway-Mayo Institute of Technology,,,
901,Architecture and construction,Civil Engineering,GA484,377,,,,377,,421,8,Galway-Mayo Institute of Technology,,,
902,Engineering and engineering trades,Software and Electronic Engineering,GA570,225,,,,225,,400,7,Galway-Mayo Institute of Technology,,,
903,Engineering and engineering trades,Software and Electronic Engineering,GA580,300,,,,300,,388,8,Galway-Mayo Institute of Technology,,,
904,Engineering and engineering trades,Mechanical Engineering,GA670,294,,,,294,,431,7,Galway-Mayo Institute of Technology,,,
905,Engineering and engineering trades,Energy Engineering,GA673,279,,,,279,,359,7,Galway-Mayo Institute of Technology,,,
906,Engineering and engineering trades,Biomedical Engineering,GA674,308,,,,308,,520,7,Galway-Mayo Institute of Technology,,,
907,Engineering and engineering trades,Agricultural Engineering,GA675,290,,,,290,,420,7,Galway-Mayo Institute of Technology,,,
908,Engineering and engineering trades,Engineering (Common Entry to Manu/Agri/Biomed/Energy/Mech Eng),GA676,304,,,,304,,498,7,Galway-Mayo Institute of Technology,,,
909,Manufacturing and processing,Manufacturing Engineering Design,GA677,308,,,,308,,378,7,Galway-Mayo Institute of Technology,,,
910,Engineering and engineering trades,Mechanical Engineering,GA680,400,,,,400,,455,8,Galway-Mayo Institute of Technology,,,
911,Engineering and engineering trades,Energy Engineering,GA681,312,,,,312,,392,8,Galway-Mayo Institute of Technology,,,
912,Engineering and engineering trades,Biomedical Engineering,GA682,331,,,,331,,413,8,Galway-Mayo Institute of Technology,,,
913,Engineering and engineering trades,Agricultural Engineering,GA683,304,,,,304,,390,8,Galway-Mayo Institute of Technology,,,
914,Engineering and engineering trades,Engineering Common Entry to Manu/Agri/Biomed/Energy/Mech Eng,GA684,413,,,,413,,456,8,Galway-Mayo Institute of Technology,,,
915,Manufacturing and processing,Manufacturing Engineering Design,GA685,336,,,,336,,377,8,Galway-Mayo Institute of Technology,,,
916,Biological and related sciences,Applied Freshwater and Marine Biology,GA770,303,,,,303,,429,7,Galway-Mayo Institute of Technology,,,
917,Biological and related sciences,Applied Biology and Biopharmaceutical Science,GA771,302,,,,302,,484,7,Galway-Mayo Institute of Technology,,,
918,Environment,Chemical and Pharmaceutical Science,GA772,310,,,,310,,499,7,Galway-Mayo Institute of Technology,,,
919,Physical sciences,Physics and Instrumentation,GA773,302,,,,302,,465,7,Galway-Mayo Institute of Technology,,,
920,Biological and related sciences,Science (Undenominated),GA774,302,,,,302,,496,7,Galway-Mayo Institute of Technology,,,
921,Information and Communication Technologies (ICTs),Computing in Software Development,GA775,280,,,,280,,391,7,Galway-Mayo Institute of Technology,,,
922,Information and Communication Technologies (ICTs),Computing and Digital Media,GA776,244,,,,244,,352,7,Galway-Mayo Institute of Technology,,,
923,Agriculture,Agriculture and Environmental Management,GA777,281,,,,281,,385,7,Galway-Mayo Institute of Technology,,,
924,Biological and related sciences,Applied Freshwater and Marine Biology,GA780,366,,,,366,,435,8,Galway-Mayo Institute of Technology,,,
925,Biological and related sciences,Applied Biology and Biopharmaceutical Science,GA781,381,,,,381,,442,8,Galway-Mayo Institute of Technology,,,
926,Environment,Chemical and Pharmaceutical Science,GA782,356,,,,356,,398,8,Galway-Mayo Institute of Technology,,,
927,Physical sciences,Physics and Instrumentation,GA783,301,,,,301,,387,8,Galway-Mayo Institute of Technology,,,
928,Biological and related sciences,Science (Undenominated),GA784,445,,,,445,,466,8,Galway-Mayo Institute of Technology,,,
929,Health,Medical Science,GA785,517,,510,,510,,532,8,Galway-Mayo Institute of Technology,,,
930,Physical sciences,Forensic Science and Analysis,GA786,408,,408,,408,,462,8,Galway-Mayo Institute of Technology,,,
931,Information and Communication Technologies (ICTs),Computing in Software Development,GA787,310,,,,310,,381,8,Galway-Mayo Institute of Technology,,,
932,Information and Communication Technologies (ICTs),Computing and Digital Media,GA788,270,,,,270,,314,8,Galway-Mayo Institute of Technology,,,
933,Agriculture,Agriculture and Environmental Management,GA789,340,,,,340,,392,8,Galway-Mayo Institute of Technology,,,
934,Personal services,Sport and Exercise Science,GA790,376,,366,,366,,431,8,Galway-Mayo Institute of Technology,,,
935,Biological and related sciences,Public Health Nutrition,GA791,368,,,,368,,431,8,Galway-Mayo Institute of Technology,,,
936,Humanities (except languages),History and Geography,GA862,195,,195,,195,,420,6,Galway-Mayo Institute of Technology,,avp,
937,Education,Early Childhood Education and Care,GA864,170,,170,,170,,338,6,Galway-Mayo Institute of Technology,,avp,
938,Personal services,Outdoor Education and Leisure,GA870,166,,166,,166,,407,7,Galway-Mayo Institute of Technology,,avp,
939,Education,Early Childhood Education and Care,GA871,196,,,,171,,423,7,Galway-Mayo Institute of Technology,,,
940,Social and behavioural sciences,Culture and Environment,GA872,201,,,,201,,246,7,Galway-Mayo Institute of Technology,,avp,
941,Welfare,Community Development and Youth Work (Level 7),GA876,,,,,,,0,7,Galway-Mayo Institute of Technology,,,
942,Welfare,Applied Social Care,GA879,241,,,,241,,387,7,Galway-Mayo Institute of Technology,,,
943,Health,General Nursing,GA880,440,*,,,440,*,455,8,Galway-Mayo Institute of Technology,,,
944,Health,Psychiatric Nursing,GA882,369,,,,369,,398,8,Galway-Mayo Institute of Technology,,,
945,Personal services,Outdoor Education,GA885,269,,,,269,,360,8,Galway-Mayo Institute of Technology,,,
946,Humanities (except languages),History and Geography,GA887,201,,,,201,,288,8,Galway-Mayo Institute of Technology,,,
947,Welfare,Applied Social Care,GA889,265,,,,265,,339,8,Galway-Mayo Institute of Technology,,,
948,Education,Early Childhood Education and Care,GA890,281,,227,,227,,336,8,Galway-Mayo Institute of Technology,,,
949,Environment,Geography and Outdoor Education,GA891,261,,,,261,,366,8,Galway-Mayo Institute of Technology,,,
950,Welfare,Community Development and Youth Work (Level 8),GA892,,,,,,,0,8,Galway-Mayo Institute of Technology,,,
951,Arts,Furniture Design and Manufacture,GA970,302,,,,302,,360,7,Galway-Mayo Institute of Technology,,,
952,Arts,Furniture Making and Architectural Woodworking,GA971,369,,,,369,,434,7,Galway-Mayo Institute of Technology,,,
953,Arts,Furniture and Digital Manufacturing,GA973,,,,,,,0,7,Galway-Mayo Institute of Technology,,,
954,Arts,"Furniture Design, Making and Technology - Common Entry",GA974,422,,,,422,,464,7,Galway-Mayo Institute of Technology,,,
955,Education,Education (Design Graphics and Construction),GA980,410,,,,410,,435,8,Galway-Mayo Institute of Technology,,,
956,Arts,Furniture Design and Manufacture,GA981,346,,,,346,,385,8,Galway-Mayo Institute of Technology,,,
957,Arts,Furniture Making and Architectural Woodworking,GA982,360,,,,360,,402,8,Galway-Mayo Institute of Technology,,,
958,Arts,Furniture and Digital Manufacturing,GA983,,,,,,,0,8,Galway-Mayo Institute of Technology,,,
959,Arts,"Furniture Design, Making and Technology - Common Entry",GA984,486,,467,,467,,498,8,Galway-Mayo Institute of Technology,,,
960,Arts,Arts (Joint-Honours),GY101,327,,326,,326,,423,8,"National University of Ireland, Galway",,,
961,Social and behavioural sciences,BSc (Psychology),GY104,564,,555,,545,,566,8,"National University of Ireland, Galway",,,
962,Humanities (except languages),Arts (History),GY105,357,,,,357,,424,8,"National University of Ireland, Galway",,,
963,Education,Arts (Mathematics and Education),GY109,413,,,,413,,487,8,"National University of Ireland, Galway",,,
964,Social and behavioural sciences,Arts (Children and Youth Studies - options),GY110,387,,,,387,,440,8,"National University of Ireland, Galway",,,
965,Arts,Arts (English and Creative Writing),GY111,421,,420,,420,,518,8,"National University of Ireland, Galway",,,
966,Social and behavioural sciences,Arts with Human Rights,GY113,413,,,,413,,477,8,"National University of Ireland, Galway",,,
967,Arts,Arts with Performing Arts Studies,GY115,300,,,,300,,393,8,"National University of Ireland, Galway",,,
968,Arts,"Arts (Drama, Theatre and Performance Studies)",GY118,453,,430,,430,,476,8,"National University of Ireland, Galway",,,
969,Journalism and information,Arts (Journalism),GY119,484,,473,,473,,521,8,"National University of Ireland, Galway",,,
970,Arts,Na Dána (Cumarsáid agus Gaeilge),GY122,410,,,,410,,496,8,"National University of Ireland, Galway",,,
971,Social and behavioural sciences,Applied Social Sciences,GY123,419,,,,419,,451,8,"National University of Ireland, Galway",,,
972,Arts,Arts (Digital Arts and Technology),GY125,403,,,,403,,444,8,"National University of Ireland, Galway",,,
973,Arts,Arts (Film and Digital Media),GY127,430,,421,,421,,488,8,"National University of Ireland, Galway",,,
974,Languages,Arts (Global Languages),GY128,346,,,,346,,468,8,"National University of Ireland, Galway",,,
975,Arts,Arts (Global Experience),GY129,465,,,,465,,522,8,"National University of Ireland, Galway",,,
976,Arts,Arts (Music),GY130,462,,,,462,,498,8,"National University of Ireland, Galway",,,
977,Social and behavioural sciences,"Government (Politics, Economics and Law)",GY132,465,,451,,451,,495,8,"National University of Ireland, Galway",,,
978,Education,Education (Computer Science and Mathematical Studies),GY133,454,,,,454,,476,8,"National University of Ireland, Galway",,,
979,Physical sciences,Geography and Geosystems,GY134,425,,,,425,,476,8,"National University of Ireland, Galway",,,
980,Arts,Arts (Global Media),GY135,442,,,,442,,484,8,"National University of Ireland, Galway",,,
981,Languages,Na Dána (Léann Teanga - options),GY136,526,,,,526,,526,8,"National University of Ireland, Galway",,,
982,Business and administration,Commerce,GY201,476,,,,476,,499,8,"National University of Ireland, Galway",,,
983,Business and administration,Commerce (International) with French,GY202,520,,,,520,,548,8,"National University of Ireland, Galway",,,
984,Business and administration,Commerce (International) with German,GY203,518,,,,518,,532,8,"National University of Ireland, Galway",,,
985,Business and administration,Commerce (International) with Spanish,GY204,506,,,,506,,531,8,"National University of Ireland, Galway",,,
986,Business and administration,Business Information Systems (Work Placement and Optional Int`l Study),GY206,509,,,,509,,544,8,"National University of Ireland, Galway",,,
987,Business and administration,Commerce (Accounting) including optional Global Experience year,GY207,543,,,,543,,578,8,"National University of Ireland, Galway",,,
988,Business and administration,Commerce (Gaeilge),GY208,508,,,,508,,547,8,"National University of Ireland, Galway",,,
989,Business and administration,Commerce (Global Experience),GY209,551,,,,551,,578,8,"National University of Ireland, Galway",,,
990,Law,Law and Business,GY250,510,,,,510,,541,8,"National University of Ireland, Galway",,,
991,Law,Law (BCL),GY251,542,,,,542,,554,8,"National University of Ireland, Galway",,,
992,Law,Law (BCL) and Human Rights,GY252,565,,,,565,,567,8,"National University of Ireland, Galway",,,
993,Law,Law and Taxation,GY253,506,,,,506,,531,8,"National University of Ireland, Galway",,,
994,Law,"Law (BCL), Criminology and Criminal Justice",GY254,548,,,,548,,566,8,"National University of Ireland, Galway",,,
995,Business and administration,Business Studies in International Hotel Management (interview),GY261,503,,,,503,,647,8,"National University of Ireland, Galway",#,,
996,Business and administration,Commerce in International Hotel Management (interview),GY262,709,,,,709,,743,8,"National University of Ireland, Galway",#,,
997,Biological and related sciences,Science,GY301,489,,488,,488,,529,8,"National University of Ireland, Galway",,,
998,Biological and related sciences,Biomedical Science,GY303,613,,,,613,,613,8,"National University of Ireland, Galway",,,
999,Engineering and engineering trades,Biotechnology,GY304,498,,495,,495,,522,8,"National University of Ireland, Galway",,,
1000,Environment,Environmental Science,GY308,431,,430,,430,,473,8,"National University of Ireland, Galway",,,
1001,Mathematics and statistics,Financial Mathematics and Economics,GY309,509,,,,509,,565,8,"National University of Ireland, Galway",,,
1002,Physical sciences,Marine Science,GY310,467,,,,467,,499,8,"National University of Ireland, Galway",,,
1003,Hygiene and occupational health services,Environmental Health and Safety,GY313,412,,,,412,,452,8,"National University of Ireland, Galway",,,
1004,Physical sciences,Earth and Ocean Sciences,GY314,422,,,,422,,463,8,"National University of Ireland, Galway",,,
1005,Biological and related sciences,Biopharmaceutical Chemistry,GY318,555,,,,555,,581,8,"National University of Ireland, Galway",,,
1006,Mathematics and statistics,Mathematical Science,GY319,543,,,,543,,589,8,"National University of Ireland, Galway",,,
1007,Physical sciences,"Physics (Degree options: Applied,Astrophysics,Biomedical,Theoretical)",GY320,465,,,,465,,533,8,"National University of Ireland, Galway",,,
1008,Biological and related sciences,Genetics and Genomics,GY321,532,,,,532,,565,8,"National University of Ireland, Galway",,,
1009,Agriculture,Agricultural Sciences,GY322,485,,,,485,,518,8,"National University of Ireland, Galway",,,
1010,Information and Communication Technologies (ICTs),Computer Science and Information Technology,GY350,495,,,,495,,521,8,"National University of Ireland, Galway",,,
1011,Engineering and engineering trades,Engineering (Undenominated),GY401,522,,520,,520,,555,8,"National University of Ireland, Galway",,,
1012,Architecture and construction,Civil Engineering,GY402,533,,521,,521,,545,8,"National University of Ireland, Galway",,,
1013,Engineering and engineering trades,Mechanical Engineering,GY405,541,,,,541,,589,8,"National University of Ireland, Galway",,,
1014,Engineering and engineering trades,Electronic and Computer Engineering,GY406,555,,,,555,,566,8,"National University of Ireland, Galway",,,
1015,Engineering and engineering trades,Biomedical Engineering,GY408,554,,,,554,,578,8,"National University of Ireland, Galway",,,
1016,Architecture and construction,Project and Construction Management,GY410,431,,,,431,,455,8,"National University of Ireland, Galway",,,
1017,Engineering and engineering trades,Energy Systems Engineering,GY413,509,,,,509,,543,8,"National University of Ireland, Galway",,,
1018,Engineering and engineering trades,Electrical and Electronic Engineering,GY414,433,,,,433,,476,8,"National University of Ireland, Galway",,,
1019,Health,"Medicine (five year/six year course, HPAT required)",GY501,737,*,737,*,737,*,740,8,"National University of Ireland, Galway",#,,
1020,Health,Occupational Therapy,GY502,601,,,,601,,602,8,"National University of Ireland, Galway",,,
1021,Health,Speech and Language Therapy,GY503,578,,,,578,,590,8,"National University of Ireland, Galway",,,
1022,Health,Podiatric Medicine,GY504,531,,526,,510,,533,8,"National University of Ireland, Galway",,,
1023,Health,General Nursing (Galway and Portiuncula),GY515,502,,496,,476,,507,8,"National University of Ireland, Galway",,,
1024,Health,Mental Health Nursing,GY516,475,,441,,412,,451,8,"National University of Ireland, Galway",,,
1025,Health,Midwifery,GY517,520,,509,,507,,532,8,"National University of Ireland, Galway",,,
1026,Business and administration,Business,GB001,,,,,102,,429,7,Galway Business School,,avp,
1027,Business and administration,Business - Common Entry,LY107,189,,189,,169,,399,7,Letterkenny Institute of Technology,,avp,
1028,Business and administration,Business - Accounting,LY108,312,,,,312,,432,8,Letterkenny Institute of Technology,,,
1029,Business and administration,Business,LY118,288,,,,288,,387,8,Letterkenny Institute of Technology,,,
1030,Business and administration,Marketing with Online Technologies,LY128,261,,261,,261,,369,8,Letterkenny Institute of Technology,,avp,
1031,Personal services,Sports Studies,LY206,147,,126,,126,,350,6,Letterkenny Institute of Technology,,avp,
1032,Law,Law with Criminal Justice,LY207,161,,161,,161,,408,7,Letterkenny Institute of Technology,,avp,
1033,Law,Law,LY208,300,,290,,290,,388,8,Letterkenny Institute of Technology,,,
1034,Personal services,Sports and Exercise - Common Entry,LY228,290,,,,290,,379,8,Letterkenny Institute of Technology,,,
1035,Personal services,Culinary Arts,LY317,205,,186,,186,,317,7,Letterkenny Institute of Technology,,avp,
1036,Personal services,Hospitality And Tourism - Common Entry,LY327,180,,178,,178,,313,7,Letterkenny Institute of Technology,,avp,
1037,Arts,Design - Common Entry,LY408,301,,,,301,,380,8,Letterkenny Institute of Technology,#,,
1038,Arts,Digital Film and Video,LY427,217,,217,,217,,378,7,Letterkenny Institute of Technology,,avp,
1039,Arts,Animation,LY437,183,,,,183,,419,7,Letterkenny Institute of Technology,#,avp,
1040,Arts,Fashion with Promotion,LY447,189,,,,189,,370,7,Letterkenny Institute of Technology,#,avp,
1041,Arts,Graphic and Digital Design,LY457,188,,188,,188,,444,7,Letterkenny Institute of Technology,#,avp,
1042,Architecture and construction,Quantity Surveying,LY507,204,,163,,163,,326,7,Letterkenny Institute of Technology,,avp,
1043,Architecture and construction,Fire Safety Engineering,LY508,283,,,,283,,352,8,Letterkenny Institute of Technology,,,
1044,Architecture and construction,Quantity Surveying,LY518,304,,,,304,,387,8,Letterkenny Institute of Technology,,,
1045,Architecture and construction,Civil Engineering,LY527,164,,164,,164,,344,7,Letterkenny Institute of Technology,,avp,
1046,Architecture and construction,Construction Management,LY528,262,,,,262,,298,8,Letterkenny Institute of Technology,,,
1047,Architecture and construction,Architectural Technology,LY538,234,,234,,234,,403,8,Letterkenny Institute of Technology,,avp,
1048,Engineering and engineering trades,Electric Vehicle Engineering,LY606,216,,149,,149,,353,6,Letterkenny Institute of Technology,,avp,
1049,Engineering and engineering trades,Electronic Engineering,LY607,198,,198,,198,,433,7,Letterkenny Institute of Technology,,avp,
1050,Engineering and engineering trades,Mechanical Engineering,LY608,300,,,,300,,390,8,Letterkenny Institute of Technology,,,
1051,Engineering and engineering trades,Mechanical Engineering,LY617,163,,163,,163,,360,7,Letterkenny Institute of Technology,,avp,
1052,Engineering and engineering trades,Electronic Engineering,LY618,321,,,,321,,368,8,Letterkenny Institute of Technology,,,
1053,Information and Communication Technologies (ICTs),Computer Games Development,LY707,206,,,,206,,342,7,Letterkenny Institute of Technology,,,
1054,Information and Communication Technologies (ICTs),Applied Computing,LY708,320,,,,320,,430,8,Letterkenny Institute of Technology,,,
1055,Information and Communication Technologies (ICTs),Computing,LY717,180,,160,,160,,371,7,Letterkenny Institute of Technology,,avp,
1056,Information and Communication Technologies (ICTs),Computer Security and Digital Forensics,LY737,161,,161,,161,,348,7,Letterkenny Institute of Technology,,avp,
1057,Information and Communication Technologies (ICTs),Computer Science,LY748,316,,,,316,,421,8,Letterkenny Institute of Technology,,avp,
1058,Health,Pharmacy Technician,LY806,172,,172,,172,,429,6,Letterkenny Institute of Technology,,avp,
1059,Health,Dental Nursing,LY816,180,,,,180,,327,6,Letterkenny Institute of Technology,,,
1060,Biological and related sciences,Bioscience,LY817,250,,,,250,,393,7,Letterkenny Institute of Technology,,,
1061,Biological and related sciences,Science - Common Entry,LY818,302,,,,302,,411,8,Letterkenny Institute of Technology,,,
1062,Health,Health Science with Physiotherapy Studies,LY826,487,,476,,463,,532,6,Letterkenny Institute of Technology,,,
1063,Agriculture,Agriculture - Common Entry,LY828,308,,300,,300,,360,8,Letterkenny Institute of Technology,,,
1064,Health,Health Science with Occupational Therapy Studies,LY836,451,,433,,419,,507,6,Letterkenny Institute of Technology,,,
1065,Biological and related sciences,Food Science and Nutrition,LY837,215,,215,,215,,430,7,Letterkenny Institute of Technology,,avp,
1066,Health,Health Science with Dietetics Studies,LY846,336,,264,,264,,485,6,Letterkenny Institute of Technology,,avp,
1067,Veterinary,Veterinary Nursing,LY847,389,*,,,389,,431,7,Letterkenny Institute of Technology,,,
1068,Biological and related sciences,Pharmaceutical and Medicinal Science,LY867,179,,170,,170,,429,7,Letterkenny Institute of Technology,,avp,
1069,Agriculture,Agriculture,LY877,200,,,,200,,346,7,Letterkenny Institute of Technology,,,
1070,Welfare,"Early Childhood Care, Health and Education",LY906,154,,,,154,,382,6,Letterkenny Institute of Technology,,,
1071,Health,General Nursing,LY908,429,*,,,429,*,441,8,Letterkenny Institute of Technology,,,
1072,Health,Health and Social Care,LY916,195,,180,,180,,337,6,Letterkenny Institute of Technology,,,
1073,Health,Psychiatric Nursing,LY918,367,*,,,361,,399,8,Letterkenny Institute of Technology,,,
1074,Health,Intellectual Disability Nursing,LY928,357,,,,342,,386,8,Letterkenny Institute of Technology,,,
